date,sample_ID,pH,pH_insitu
2025-06-08,20250608_kb_p1_t1,8.679744662586026,8.68644857363327
2025-06-08,20250608_kb_p2_t1,8.417365057363067,8.418509307558226
2025-06-08,20250608_kb_p3_t1,8.538443599921933,8.538969933045506
2025-06-08,20250608_kb_p4_t1,7.71564921306279,7.712650298399456
2025-06-08,20250608_kb_p5_t1,7.8345539653883405,7.833420907038275
2025-06-08,20250608_kb_p6_t1,8.255425761521868,8.252862871934028
2025-06-08,20250608_kb_p7_t1,7.86235684947177,7.867267455351093
2025-06-08,20250608_kb_p8_t1,7.716507742138647,7.706800415047111
2025-06-08,20250608_kb_p9_t1,7.6736103469629855,7.66889957472198
2025-06-08,20250608_kb_p10_t1,7.627068317932794,7.620933230289369
2025-06-08,20250608_kb_p11_t1,7.6304086491810725,7.629261009348452
2025-06-08,20250608_kb_p12_t1,7.687322756926636,7.693175551265882
2025-06-08,20250608_kb_p13_t1,7.891872798100394,7.888691849699264
2025-06-08,20250608_kb_p14_t1,7.559512305511897,7.558285743583255
2025-06-08,20250608_kb_p15_t1,8.230936622524275,8.228171492178983
2025-06-08,20250608_kb_ocn_t1,7.893437962394925,7.881106682606193
2025-06-08,20250608_kb_p1_t2,8.685311521556251,8.691408141780116
2025-06-08,20250608_kb_p2_t2,8.465232393844902,8.465487215990498
2025-06-08,20250608_kb_p3_t2,8.576699390682638,8.576811100978322
2025-06-08,20250608_kb_p4_t2,7.670946002426939,7.664291923443376
2025-06-08,20250608_kb_p5_t2,7.842452401376958,7.846823305281358
2025-06-08,20250608_kb_p6_t2,8.274138006764616,8.274565402455792
2025-06-08,20250608_kb_p7_t2,7.8599326098074895,7.864339057420236
2025-06-08,20250608_kb_p8_t2,7.726889649563852,7.721818627567003
2025-06-08,20250608_kb_p9_t2,7.614138182716842,7.61233202325017
2025-06-08,20250608_kb_p10_t2,7.579419709107142,7.573701118509096
2025-06-08,20250608_kb_p11_t2,7.524705442405685,7.52636701377483
2025-06-08,20250608_kb_p12_t2,7.677091586845773,7.686916756590529
2025-06-08,20250608_kb_p13_t2,7.908213712938493,7.902378875054856
2025-06-08,20250608_kb_p14_t2,7.5331752758862205,7.529724653756459
