pool_number,mean_volume,sd_volume,se_volume
1,7.640056260273199,0.28998161359944313,0.16742096267168055
2,21.209233522442904,0.4558230153351313,0.263169540606565
3,38.48554798364919,1.4551408355044653,0.84012595308732
4,42.113236575760126,11.46434596250829,6.6189432275371605
5,17.234406881305954,0.8448457644098786,0.4877719295057586
6,29.04071538437983,6.2196164757181185,3.590897246512087
7,33.25761717576705,1.2676859219343684,0.7318988082767065
8,34.91549593348392,2.7662112837737616,1.5970728293221617
9,42.65430018021881,5.837277870893273,3.370153950094877
10,46.77342680757665,1.875950040963938,1.083080261136819
11,62.717885483515744,14.711291968849974,8.493568378342712
12,7.2132639173801945,0.5446137784910662,0.3144329116161963
13,17.555050304530535,0.2548640335784455,0.14714581839326935
14,48.76563022855573,9.582449854312232,5.532430002883258
15,47.22017754530129,5.860831641829942,3.3837527260855937
16,20.54872470762487,4.6053922008149994,2.6589244268643433
17,91.47725133406223,2.287660997963955,1.3207816929890974
18,26.450040428639888,3.0476317575608594,1.7595510156186145
19,53.80017144562771,0.9544278075915121,0.5510391516350239
20,42.03001493507899,2.94077291022501,1.6978560313439688
21,39.99923055264986,18.653787403437207,10.769769178780523
22,NA,NA,NA
23,159.61542555990988,28.19995447714543,16.281251308515106
24,30.189982482001316,3.0214187586731347,1.7444169336545194
25,73.18442239158486,2.4656502053794056,1.423543809803256
26,42.54546283743771,0.07623667063870859,0.04401526231537925
28,32.955689872341516,2.766847302741796,1.5974400350445659
29,33.67379151622567,11.080784956653973,6.397494177556528
31,49.11370023838289,4.536633447520403,2.6192265421405647
32,NA,NA,NA
