sample_ID,TA,Mass,Sample.Index
junk2,2211.739727,60.2131,2
junk3,2210.310674,60.0221,3
20250720_kb_p8_t1,2557.939513,60.1738,4
20250720_kb_p9_t1,2428.527068,60.1299,5
20250720_kb_p10_t1,2391.656632,60.0722,6
20250720_kb_p11_t1,2469.721637,60.081,7
20250720_kb_p12_t1,2504.477268,60.0987,8
20250720_kb_p13_t1,2540.624982,60.231,9
20250720_kb_p14_t1,2392.0585,60.1727,10
20250720_kb_p15_t1,2665.607356,60.0811,11
20250720_kb_p8_t3,2879.930225,60.2465,12
20250720_kb_p9_t3,2695.45381,60.1185,13
20250720_kb_p10_t3,2591.160178,60.12,14
20250720_kb_p11_t3,2707.478233,60.0243,15
20250720_kb_p12_t3,3064.236725,60.065,16
20250720_kb_p13_t3,2748.751727,60.2661,17
20250720_kb_p14_t3,2657.373605,60.1802,18
20250720_kb_p15_t3,2893.625894,60.0537,19
junk1,2219.096366,60.1098,1
junk2,2208.421374,60.1504,2
junk3,2203.678654,60.0726,3
20250726_kb_p1_t1,4115.153904,60.0312,4
20250726_kb_p2_t1,3190.426964,60.1851,5
20250726_kb_p3_t1,3334.429456,60.1355,6
20250726_kb_p4_t1,2568.100568,60.1176,7
20250726_kb_p5_t1,2548.27007,60.0534,8
20250726_kb_p6_t1,3438.713352,60.0593,9
20250726_kb_p7_t1,2793.638817,60.0628,10
20250726_kb_ocn_t1,2308.150578,60.0839,11
20250726_kb_p1_t2,4252.92274,60.1303,12
20250726_kb_p2_t2,3242.162739,60.094,13
20250726_kb_p3_t2,3405.259255,60.0504,14
20250726_kb_p4_t2,2605.247408,60.1308,15
20250726_kb_p5_t2,2582.161718,60.1298,16
20250726_kb_p6_t2,3532.598977,60.1834,17
20250726_kb_p7_t2,2861.549155,60.0378,18
20250726_kb_ocn_t2,2282.022703,60.0887,19
20250726_kb_p1_t3,4345.241174,60.1062,20
20250726_kb_p2_t3,3231.726681,60.1848,21
20250726_kb_p3_t3,3484.660315,60.1275,22
20250726_kb_p4_t3,2459.077356,60.0657,23
20250726_kb_p5_t3,2500.871257,60.0451,24
20250726_kb_p6_t3,3547.796858,60.2546,25
20250726_kb_p7_t3,2829.688289,60.0327,26
20250726_kb_ocn_t3,2275.100869,60.1025,27
junk1,2220.745284,60.0466,1
junk2,2206.429347,60.0089,2
junk3,2212.21793,60.0952,3
20250726_kb_p8_t1,2613.261052,60.0275,4
20250726_kb_p9_t1,2505.936719,60.0735,5
20250726_kb_p10_t1,2450.039082,60.264,6
20250726_kb_p11_t1,2478.428267,60.1439,7
20250726_kb_p12_t1,2645.698817,60.1474,8
20250726_kb_p13_t1,2667.617737,60.0203,9
20250726_kb_p14_t1,2504.494847,60.0704,10
20250726_kb_p15_t1,3099.361988,60.1221,11
20250726_kb_p8_t2,2623.89368,60.1125,12
20250726_kb_p9_t2,2506.101993,60.034,13
20250726_kb_p10_t2,2463.85872,60.0698,14
20250726_kb_p11_t2,2501.624023,60.1039,15
20250726_kb_p12_t2,2467.207118,60.0687,16
20250726_kb_p13_t2,2668.829446,60.1451,17
20250726_kb_p14_t2,2497.027961,60.1183,18
20250726_kb_p15_t2,3114.88864,60.078,19
20250726_kb_p8_t3,2447.847543,60.1472,20
20250726_kb_p9_t3,2313.449532,60.2201,21
20250726_kb_p10_t3,2342.085751,60.0537,22
20250726_kb_p11_t3,2355.572485,60.0079,23
20250726_kb_p12_t3,2156.566368,60.044,24
20250726_kb_p13_t3,2584.999715,60.1544,25
20250726_kb_p14_t3,2338.17742,60.1572,26
20250726_kb_p15_t3,3050.743543,60.0446,27
junk1,2310.931767,60.2091,1
junk2,2301.261492,60.3214,2
junk3,2298.612237,60.2042,3
20251105_sb_p29_t1,2026.449313,60.0545,4
20251105_sb_p28_t1,2242.269856,60.2056,5
20251105_sb_p26_t1,2241.74771,60.0765,6
20251105_sb_p25_t1,1977.022098,60.1439,7
20251105_sb_p24_t1,2303.453866,60.0697,8
20251105_sb_p23_t1,2044.203558,60.0522,9
20251105_sb_p22_t1,1892.465309,60.1011,10
20251105_sb_p32_t1,2194.452846,60.0497,11
20251105_sb_p29_t2,2081.888949,60.223,12
20251105_sb_p28_t2,2284.428497,60.1132,13
20251105_sb_p26_t2,2284.513481,60.1809,14
20251105_sb_p25_t2,2027.690928,60.066,15
20251105_sb_p24_t2,2350.732409,60.1754,16
20251105_sb_p23_t2,2084.265536,60.1254,17
20251105_sb_p22_t2,1946.293189,60.221,18
20251105_sb_p32_t2,2234.962515,60.3944,19
20251105_sb_p29_t3,2126.120191,60.0009,20
20251105_sb_p28_t3,2325.198599,60.2158,21
20251105_sb_p26_t3,2333.928346,60.0332,22
20251105_sb_p25_t3,2086.878788,60.0206,23
20251105_sb_p24_t3,2395.495733,60.2157,24
20251105_sb_p23_t3,2123.82386,60.1943,25
20251105_sb_p22_t3,2005.727263,60.1062,26
20251105_sb_p32_t3,2268.160149,60.0939,27
junk1,2325.433985,60.0066,1
junk2,2295.351548,60.1549,2
20251105_sb_p21_t1,2094.425846,60.2597,4
20251105_sb_p31_t1,2460.207903,60.2164,5
20251105_sb_p20_t1,2221.991333,60.0742,6
20251105_sb_p19_t1,2136.934971,60.3022,7
20251105_sb_p18_t1,2195.42975,60.1649,8
